year	municipality	id08	treated	_ID	_CX	_CY	PRO_COM	SHAPE_LEN	SHAPE_AREA
2008.0	"ABANO TERME"	1	0.0	4452	718771.7504371237	5026589.2115411395	28001	23907.9391511	2.14080617379E7
2008.0	"ABBADIA CERRETO"	2	1.0	3869	546382.7707051025	5017910.749085668	98001	16828.1476413	6198571.90765
2008.0	"ABBADIA LARIANA"	3	0.0	1549	527773.8945504549	5082758.16348347	97001	22400.4334118	1.66724470306E7
2008.0	"ABBADIA SAN SALVATORE"	4	0.0	1933	719163.9969651577	4751441.841766223	52001	39788.0694287	5.89932736343E7
2008.0	"ABBASANTA"	5	1.0	8071	480399.9674993794	4443346.1105243815	95001	28620.3293844	3.98468895536E7
2008.0	"ABBATEGGIO"	6	1.0	6137	914656.4438745353	4684700.578598256	68001	28773.5797032	1.54013671364E7
2008.0	"ABBIATEGRASSO"	7	0.0	2392	491815.33137269336	5025370.228149939	15002	47331.8135501	4.77776334288E7
2008.0	"ABETONE"	8	1.0	5303	633354.0593752223	4888066.805598516	47001	26385.0610121	3.09968358573E7
2008.0	"ABRIOLA"	9	1.0	7210	1075633.8059134579	4507563.788215392	76001	50894.5525785	9.71893765272E7
2008.0	"ACATE"	10	0.0	7675	984335.7239566934	4110019.2760298206	88001	61854.6690519	1.02468412148E8
2008.0	"ACCADIA"	11	1.0	870	1030932.8855317399	4578209.834403328	71001	27026.4757432	3.07358838879E7
2008.0	"ACCEGLIO"	12	1.0	324	337038.3167862893	4928037.267381499	4001	57487.9959255	1.51527583762E8
2008.0	"ACCETTURA"	13	1.0	7205	1106309.8006231955	4506921.130821825	77001	48980.3937836	9.03667845788E7
2008.0	"ACCIANO"	14	1.0	5971	888669.5765180256	4681925.166503297	66001	28822.3362872	3.22232337224E7
2008.0	"ACCUMOLI"	15	1.0	6008	847662.0021951712	4735736.7639368195	57001	54068.3960711	8.73430152849E7
2008.0	"ACERENZA"	16	1.0	7188	1086289.319690272	4540101.03684946	76002	58856.3752738	7.76421995999E7
2008.0	"ACERNO"	17	1.0	6961	1012185.3671761712	4527780.532445699	65001	39152.9346533	7.24968197134E7
2008.0	"ACERRA"	18	0.0	6205	953422.1816879308	4548952.740671556	63001	38230.8031458	5.47117243956E7
2008.0	"ACI BONACCORSI"	19	1.0	7619	1039476.2506173712	4178515.0458077663	87001	6429.94720899	1724234.19049
2008.0	"ACI CASTELLO"	20	0.0	7620	1042526.861389486	4174327.3505059793	87002	21421.0196088	8705826.38391
2008.0	"ACI CATENA"	21	0.0	7627	1042596.2945997075	4177597.805121356	87003	18053.4725421	8521856.37635
2008.0	"ACI SANT'ANTONIO"	22	0.0	7639	1040106.2300317824	4181761.3923559864	87005	20245.067225	1.43333226071E7
2008.0	"ACIREALE"	23	0.0	7633	1043842.8323094341	4183134.7358329743	87004	41467.3174645	4.04413310176E7
2008.0	"ACQUAFONDATA"	24	1.0	5705	914963.0513982023	4611885.599903311	60001	26578.3343358	2.53173515718E7
2008.0	"ACQUAFORMOSA"	25	1.0	7295	1107668.7480115418	4421338.245510507	78001	25923.542422	2.27052176849E7
2008.0	"ACQUAFREDDA"	26	1.0	2999	610405.0469318356	5017970.66808561	17001	15015.2963875	9546276.54233
2008.0	"ACQUANEGRA CREMONESE"	27	1.0	2989	570004.47627802	5002771.788361677	19001	19541.4296868	9216102.78326
2008.0	"ACQUANEGRA SUL CHIESE"	28	1.0	3071	614328.2048528589	5001429.717700858	20001	36125.6973286	2.80141546793E7
2008.0	"ACQUAPENDENTE"	29	0.0	5382	736218.6462652958	4738480.662890722	56001	59963.122118	1.31602217239E8
2008.0	"ACQUAPPESA"	30	1.0	7296	1101589.8570408765	4395014.468723022	78002	24794.0025422	1.44536396593E7
2008.0	"ACQUARO"	31	1.0	7241	1128232.7543180434	4289784.736343888	102001	28430.6420694	2.52495197776E7
2008.0	"ACQUASANTA TERME"	32	0.0	4771	860669.5945337192	4743606.788696024	44001	70972.153532	1.38391358664E8
2008.0	"ACQUASPARTA"	33	0.0	2416	791315.8047367921	4732535.633787167	55001	59479.8566998	8.16057650927E7
2008.0	"ACQUAVIVA COLLECROCE"	34	1.0	5546	978506.3188474047	4650613.279401931	70001	29801.5000862	2.85993029501E7
2008.0	"ACQUAVIVA D'ISERNIA"	35	1.0	5425	927907.4997540667	4627013.280876185	94001	20469.3480754	1.35138652946E7
2008.0	"ACQUAVIVA DELLE FONTI"	36	0.0	6972	1160953.8261570528	4555282.050606276	72001	108307.926258	1.32024155824E8
2008.0	"ACQUAVIVA PICENA"	37	1.0	4772	891933.9534692153	4765381.995122643	44002	27928.4973611	2.10623802557E7
2008.0	"ACQUAVIVA PLATANI"	38	1.0	7415	914926.262983377	4168069.6648485353	85001	21537.3882215	1.4633322585E7
2008.0	"ACQUEDOLCI"	39	0.0	7405	990075.1382190452	4226018.0479009	83107	21485.1121744	1.29304252239E7
2008.0	"ACQUI TERME"	40	0.0	1341	457502.6228319973	4947647.967037141	6001	34615.2904656	3.32967468847E7
2008.0	"ACRI"	41	0.0	7311	1139086.4907343069	4398076.615053578	78003	101900.304992	2.00627332505E8
2008.0	"ACUTO"	42	1.0	5706	846919.927619181	4635138.812670636	60002	17970.4507574	1.34662159618E7
2008.0	"ADELFIA"	43	0.0	6939	1162277.8316669993	4567751.7205330385	72002	29624.5849556	2.98139440926E7
