NR.;CODICE UNIONE;REGIONE;PROVINCIA;DESCRIZIONE UNIONE DI COMUNI;DATA COSTITUZIONE;NR. COMUNI;COMUNI APPARTENENTI ALL'UNIONE;POP. UOMINI;POP. DONNE;POP. TOTALE
0;4130236060;ABRUZZO;CHIETI;UNIONE DEI COMUNI MONTANI MAIELLA ALTA VAL DI FORO;12-Feb-2013;4;;2.960;3.132;6.092
1;;;;;;;FARA FILIORUM PETRI;929;1.026;1.955
2;;;;;;;PRETORO;477;512;989
3;;;;;;;RAPINO;660;696;1.356
4;;;;;;;ROCCAMONTEPIANO;894;898;1.792
0;4130236080;ABRUZZO;CHIETI;UNIONE DEI COMUNI MONTANI MAIELLA ORIENTALE - VERDE AVENTINO;7-Nov-2014;6;;2.265;2.373;4.638
1;;;;;;;CIVITELLA MESSER RAIMONDO;421;440;861
2;;;;;;;COLLEDIMACINE;120;117;237
3;;;;;;;LAMA DEI PELIGNI;646;718;1.364
4;;;;;;;LETTOPALENA;192;173;365
5;;;;;;;PALENA;689;723;1.412
6;;;;;;;TARANTA PELIGNA;197;202;399
0;4130236050;ABRUZZO;CHIETI;UNIONE DEI MIRACOLI;29-Dic-2011;4;;6.223;6.762;12.985
1;;;;;;;CASALBORDINO;2.994;3.309;6.303
2;;;;;;;POLLUTRI;1.105;1.201;2.306
3;;;;;;;SCERNI;1.661;1.738;3.399
4;;;;;;;VILLALFONSINA;463;514;977
0;4130236030;ABRUZZO;CHIETI;UNIONE DEL SINELLO;1-Gen-2004;3;;1.030;1.074;2.104
1;;;;;;;CARPINETO SINELLO;334;332;666
2;;;;;;;CASALANGUIDA;485;521;1.006
3;;;;;;;GUILMI;211;221;432
0;4130236070;ABRUZZO;CHIETI;UNIONE MONTANA DEI COMUNI DEL SANGRO;1-Gen-2014;8;;1.009;1.062;2.071
1;;;;;;;COLLEDIMEZZO;267;264;531
2;;;;;;;MONTEBELLO SUL SANGRO;40;59;99
3;;;;;;;MONTEFERRANTE;70;71;141
4;;;;;;;MONTELAPIANO;42;38;80
5;;;;;;;MONTENERODOMO;368;368;736
6;;;;;;;PIETRAFERRAZZANA;67;61;128
7;;;;;;;ROIO DEL SANGRO;45;58;103
8;;;;;;;ROSELLO;110;143;253
0;4130386020;ABRUZZO;L'AQUILA;UNIONE DEI COMUNI TERRE DEI PELIGNI;25-Set-2015;5;;3.135;3.393;6.528
1;;;;;;;CORFINIO;541;538;1.079
2;;;;;;;PREZZA;474;541;1.015
3;;;;;;;RAIANO;1.346;1.466;2.812
4;;;;;;;ROCCACASALE;363;361;724
5;;;;;;;VITTORITO;411;487;898
0;4130606010;ABRUZZO;PESCARA;UNIONE DEI COMUNI DELL'AREA URBANA CHIETI-PESCARA - UNICA;1-Gen-2003;8;;57.963;61.385;119.348
1;;;;;;;BUCCHIANICO;2.562;2.659;5.221
2;;;;;;;CAPPELLE SUL TAVO;1.938;2.021;3.959
3;;;;;;;FRANCAVILLA AL MARE;11.403;12.413;23.816
4;;;;;;;MIGLIANICO;2.394;2.450;4.844
5;;;;;;;MONTESILVANO;24.391;26.022;50.413
6;;;;;;;PIANELLA;4.130;4.307;8.437
7;;;;;;;SPOLTORE;9.121;9.445;18.566
8;;;;;;;TORREVECCHIA TEATINA;2.024;2.068;4.092
0;4130796010;ABRUZZO;TERAMO;CITTA' TERRITORIO VAL VIBRATA;1-Gen-2000;12;;37.707;39.648;77.355
1;;;;;;;ALBA ADRIATICA;5.495;6.070;11.565
2;;;;;;;ANCARANO;912;965;1.877
3;;;;;;;CIVITELLA DEL TRONTO;2.595;2.738;5.333
4;;;;;;;COLONNELLA;1.861;1.907;3.768
5;;;;;;;CONTROGUERRA;1.186;1.236;2.422
6;;;;;;;CORROPOLI;2.315;2.435;4.750
7;;;;;;;MARTINSICURO;7.607;7.877;15.484
8;;;;;;;NERETO;2.484;2.591;5.075
9;;;;;;;SANT'EGIDIO ALLA VIBRATA;4.787;4.881;9.668
